Name,Address,RATING,CURRENT,RISK
ST BERNARD'S SCHOOL,3604 N 65 ST,EXCELLENT,10/15/2018,HIGH
ST FRANCES CABRINI,1333 S 10TH,SUPERIOR,9/4/2018,HIGH
St Gerald's,7857 LAKEVIEW ST,SUPERIOR,12/12/2018,HIGH
St James School,4720 N 90 ST,EXCELLENT,8/27/2018,HIGH
St Joan Of Arc,7501 Vinton St,EXCELLENT,11/15/2018,HIGH
St Margaret Mary,123 N 61st St,SUPERIOR,11/6/2018,HIGH
St Mihiel Veterans Of Foreign,3302 Leavenworth,STANDARD,7/27/2018,HIGH
St Nicholas Serbian Orthodox,5050 Harrison,EXCELLENT,10/29/2018,HIGH
St Patrick's School,20500 W Maple RD,EXCELLENT,8/27/2018,HIGH
St Paul Lutheran,5020 Grand AVE,STANDARD,12/10/2018,MEDIUM
St Philip Neri,8202 N 31st,EXCELLENT,10/9/2018,HIGH
St Pius X School,6905 Blondo,SUPERIOR,12/3/2018,HIGH
St Robt Bellarmine,11900 Pacific,EXCELLENT,9/7/2018,HIGH
St Stephen Martyr,16701 S St ST,SUPERIOR,10/26/2018,HIGH
St Thomas More,3515 S 48th,SUPERIOR,8/27/2018,HIGH
St Wenceslaus,15353 Pacific,SUPERIOR,9/17/2018,HIGH
St. Vincent De Paul School,14330 Eagle Run DR,SUPERIOR,11/16/2018,HIGH
Stadium Club,414 S 10th ST,FAIR,7/16/2018,HIGH
Standing Bear Elementary,15860 Taylor ST,SUPERIOR,8/23/2018,HIGH
Star Deli,6114 Military,EXCELLENT,10/15/2018,HIGH
Starbucks,222 S 15th St,EXCELLENT,8/3/2018,MEDIUM
Starbucks,15821 W Dodge Rd STE 100,EXCELLENT,9/7/2018,MEDIUM
Starbucks,12540 K Plza,EXCELLENT,11/5/2018,MEDIUM
Starbucks Coffee,8734 Pacific ST,EXCELLENT,3/16/2018,MEDIUM
Starbucks Coffee,1303 S 72 ST STE 110,EXCELLENT,5/23/2018,MEDIUM
Starbucks Coffee,14801 W Maple RD,EXCELLENT,7/9/2018,MEDIUM
Starbucks Coffee,12245 W Center,EXCELLENT,10/4/2018,MEDIUM
Starbucks Coffee #48930,815 N 204th Ave,EXCELLENT,1/9/2019,MEDIUM
Starbucks Coffee Co,1020 Capitol Ave,EXCELLENT,7/11/2018,MEDIUM
Starbucks Coffee Co,219 S 72nd ST,EXCELLENT,7/27/2018,MEDIUM
Starbucks Coffee Co,411 N 114th ST,EXCELLENT,7/27/2018,MEDIUM
Starbucks Coffee Co (Mobile),1020 Capitol Ave,EXCELLENT,7/11/2018,LOW
Starbucks Coffee Company,17396 W Center RD,EXCELLENT,2/22/2018,MEDIUM
Starbucks @ Durham, 981200 Nebraska Med Ctr  Ste 34310 ,STANDARD,,MEDIUM
STARSKY'S,7812 F ST,FAIR,10/25/2018,HIGH
STAYBRIDGE SUITES,7825 DAVENPORT ST,EXCELLENT,5/29/2018,MEDIUM
STAYBRIDGE SUITES WEST,2720 OAK DR,EXCELLENT,7/17/2018,HIGH
Steak & Grapes,16920 Wright Plaza #118,EXCELLENT,1/17/2019,HIGH
STEPHEN CENTER,2723 Q ST,EXCELLENT,4/17/2018,MEDIUM
STEVE'S PLACE,2202 N 16 ST,STANDARD,6/4/2018,MEDIUM
Stick and Stone Bakery,9518 Calhoun Rd,EXCELLENT,8/3/2018,MEDIUM
Still Poppin Gourment Popcorn,8501 N 30th,STANDARD,12/13/2018,LOW
Still Popping,2118 N 24th ST,EXCELLENT,5/30/2018,LOW
STIRNELLA,3814 FARNAM ST,STANDARD,9/27/2018,HIGH
Stock n Bonds,8528 Park Dr,STANDARD,11/13/2018,HIGH
STOKE'S GRILL & BAR,13615 CALIFORNIA ST,STANDARD,9/24/2018,HIGH
STOKE'S GRILL & BAR,1122 HOWARD ST,STANDARD,10/17/2018,HIGH
Stokin' Goat, 15805 W Maple Rd  Ste #101 ,EXCELLENT,11/19/2018,HIGH
STOLIS LOUNGE,715 N 120 ST,EXCELLENT,2/7/2018,LOW
STONE CREEK GOLF COURSE,6220 N 160 AVE,EXCELLENT,9/5/2018,MEDIUM
Storz Pavilion,4350 Dewey Ave,STANDARD,,HIGH
STOYSICH HOUSE OF SAUSAGE,2532 S 24 ST,FAIR,8/14/2018,HIGH
STOYSICH HOUSE OF SAUSAGE,2502 S 130 AVE,FAIR,11/27/2018,HIGH
STREETSIDE FOODS,100 E LOCUST ST,EXCELLENT,4/6/2018,MEDIUM
STRIKE ZONE,2900 S 110 ST,EXCELLENT,1/2/2019,MEDIUM
STS PETER AND PAUL SCHOOL,3619 X ST,SUPERIOR,10/31/2018,HIGH
STU'S PLACE,9101 BEDFORD AVE,STANDARD,4/2/2018,LOW
SUBSOUTH INC,3414 S 144 ST,EXCELLENT,1/25/2018,MEDIUM
SUBURBAN EXTENDED STAY,7010 HASCALL ST,STANDARD,9/27/2018,MEDIUM
Subway,12243 W Center RD,EXCELLENT,1/2/2019,MEDIUM
Subway,421 Saddle Creek Rd,EXCELLENT,12/31/2018,MEDIUM
Subway,10780 M ST,EXCELLENT,1/14/2019,MEDIUM
